,url,mots-clés très pertinent,mots-clés avec 2 mots,mots-clés avec plusieurs mots
10,https://www.has-sante.fr/jcms/c_1525658/fr/pose-et-entretien-des-catheters-veineux-peripheriques,prévention infection lier; standardisation pratique pose; bonne pratique antisepsie; antisepsie manipulation cathéter,cathéter veineux; maintien cathétérisme; pose entretien; lier cathéter; entretien cathéter; bon pratique; élaborer sélectionner; sélectionner partir; constituer élément; élément simple; objectif qualité,bonne pratique antisepsie; prévention infection lier; antisepsie manipulation cathéter; standardisation pratique pose; veineux périphérique constituer; standard respect bonne; partir recommandation bon; simple opérationnel bon; périphérique \xa objectif; tubulure robinet evaluation; sécurité critère sont\xa
11,https://www.has-sante.fr/jcms/c_1528194/fr/jevtana-xtandi-et-zytiga-cabazitaxel-enzalutamide-et-abiraterone-des-progres-therapeutiques-pour-certains-cancers-metastatiques-de-la-prostate,androgène Zytiga ®,mois vs; métastatique prostate; second ligne; maladie progresser; vs placebo; Xtandi ®; ® amm; cytotoxique famille; asymptomatique symptomatique; suppression androgénique; cliniquement indiquer,androgène Zytiga ®; considérer résistant castration; traitement cancer métastatique; ® xtandi ®; faire terrain malade; risquer cumul toxicité; état général supporter; inhibiteur biosynthèse androgène; ligne homme maladie; lorsqu’ chimiothérapie cliniquement; chimiothérapie base docétaxel
12,https://www.has-sante.fr/jcms/c_1528391/fr/evaluation-des-implants-de-pontage,évaluer service rendre; commission recommande individualiser; traitement surface contenir,description générique; inscription nom; spécification technique; type implant; déterminer indication; place stratégie; codification clarifier; contenir substance; prescription envisager; tissu origine; biologique issu,évaluer service rendre; traitement surface contenir; commission recommande individualiser; éviter erreur codification; étude présenter demande; modalité utilisation prescription; comporter dérivé tissu; technique conditionner service; dispositif entrer description; inscription produit LPPR
13,https://www.has-sante.fr/jcms/c_1602735/fr/comment-reduire-les-rehospitalisations-evitables-des-personnes-agees,haut risque réhospitalisation; préparation sortie lien; document sortie jour; rôle respectif équipe; primaire coordination appui,admission patient; patient haut; lien médecin; médecin traitant; mise disposition; disposition document; équipe soin; soin primaire; appui suivi; suivi post-sortie; condition optimal,haut risque réhospitalisation; rôle respectif équipe; primaire coordination appui; préparation sortie lien; document sortie jour; fiche précise condition; prise charge étape; établissement hospitalier ville
14,https://www.has-sante.fr/jcms/c_1604609/fr/recommandations-organisationnelles-de-la-chirurgie-ambulatoire-outils-et-guide,étude benchmark viser; facteur cler réussite; identifier défaillance potentiel; sécurité mettre oeuvre,viser identifier; mode défaillance; défaillance effet; chirurgie ambulatoire; réussite développement; potentiel barrière; barrière sécurité; développement chirurgie; identifier facteur; outil associer; flux méthode,sécurité mettre oeuvre; facteur cler réussite; étude benchmark viser; identifier défaillance potentiel; mobilisation théorie technique; accompagnement d\'expert professionnel; issu monde industriel; ascendant issu terrain
15,https://www.has-sante.fr/jcms/c_1647165/fr/anemie-chez-l-insuffisant-renal-comment-utiliser-les-agents-stimulant-l-erythropoiese,lier déficit production,taux hémoglobine; responsable symptôme; exclusivement secondaire; production érythropoïétin; anémie responsable; secondaire irc,lier déficit production; hémoglobine ≤ gramme
16,https://www.has-sante.fr/jcms/c_1648783/fr/evaluation-des-vetements-compressifs-sur-mesure-pour-grands-brules,compressif mesure grand; brûlure atteinte derme,vêtement compressif; prise charge; grand brûlé; mise jour; cnedimt recommande; intérêt pouvoir; dispositif étendre; nécessité réserver; médecin spécialiste; structure spécialiser; spécialiste prise,compressif mesure grand; brûlure atteinte derme; pouvoir utiliser dispositif; réserver prescription médecin; cutané assimilation brûlure; charge brûlure séquelle; exercer exercer structure
17,https://www.has-sante.fr/jcms/c_1650212/fr/depistage-du-cancer-du-sein-chez-les-femmes-de-40-a-49-ans-et-de-70-a-79-ans-en-france-note-de-cadrage,priori programme dépistage,cancer sein; femme âgé; an an; guide méthodologique; méthodologique ANAES; évaluation priori; an France; dépistage organiser,priori programme dépistage; pertinence dépistage cancer
18,https://www.has-sante.fr/jcms/c_1670874/fr/forfait-hebdomadaire-7-forfait-de-mobilisation-thoracique-et-d-aide-a-la-toux-note-de-cadrage,forfait prestation dispositif,évaluer intérêt; médical concerner; risque place; place stratégie; prendre compte; compte gravité; besoin déjà; déjà couvert; commun catégorie; condition prescription; population cible,forfait prestation dispositif; gravité pathologie besoin; caractéristique technique commun; santé public prendre; concerner revoir indication
19,https://www.has-sante.fr/jcms/c_1729194/fr/sortie-de-maternite-preparez-votre-retour-a-la-maison-document-d-information-destine-aux-femmes-enceintes,document\xa but \xainformer; organisation suivi bébé; devoir permettre mieux; santé aider choisir,professionnel santé; mère enfant; \xainformer possibilité; possibilité organisation; mieux échanger; échanger professionnel; choisir modalité; modalité sortie; contact complet; enfant naissance; utile mère,document\xa but \xainformer; devoir permettre mieux; santé aider choisir; organisation suivi bébé; cas durée séjour; assurer suivi mère
20,https://www.has-sante.fr/jcms/c_1754223/fr/ameliorer-le-suivi-des-patients-en-radiologie-interventionnelle-et-actes-radioguides,patient risque dose; médecin traitant préciser; alerte recommandation suivi; suivi recueil adhésion; approche RCP exemple,préciser signe; signe alerte; patient nécessité; suivi prise; risque suivi; \r\ncourrier médecin; aller jusqu’; jusqu’ interruption; niveau référence; référence interventionnel; règle réduction,médecin traitant préciser; approche RCP exemple; alerte recommandation suivi; suivi recueil adhésion; patient risque dose; effectuer sortie visite; avis centre référent; besoin pouvoir aller; initial mois cas; dose cours procédure; réduction dose délivrer
21,https://www.has-sante.fr/jcms/c_1761792/fr/guide-parcours-de-soins-maladie-coronarienne-stable,maladie coronarienne stable,maladie coronarien; atteinte maladie; professionnalité prise; principe modalité; modalité coordination; douleur thoracique; futur cas; professionnel impliquer; évaluer probabilité; médecine ville; ville médecine,maladie coronarienne stable; prise charge principe; coordination coopération professionnel; risque événement futur; expliciter parcours soin; coronarien stable\xaen médecine
22,https://www.has-sante.fr/jcms/c_1769921/fr/evaluation-de-onze-actes-de-chirurgie-viscerale-par-coelioscopie-deux-colectomies-neuf-actes-rares,rétablissement continuité cœlioscopie,chirurgie viscéral; anastomos biliodigestiv; indication récidive; argumentaire porte; conduit biliaire; porter conduit; continuité indication; neuf acte,rétablissement continuité cœlioscopie; récidive cancer estomac; acte rare chirurgie
23,https://www.has-sante.fr/jcms/c_1781741/fr/crosslinking-du-collagene-corneen-et-anneaux-intra-corneens-dans-le-traitement-des-ectasies-corneennes,vue party prenant; CXL constitue modalité; démontrer opacité cornéenne,modalité thérapeutique; cornéenne pachymétrie; pachymétrie adéquat; thérapeutique patient; faible niveau; évènement indésirable; résultat efficacité; écrire point; d\'ophtalmologie association; insatisfaisant correction; correction lentilles,CXL constitue modalité; vue party prenant; démontrer opacité cornéenne; patient porteur kératocône; académie français ophtalmologie; lentilles intolérant lentille; probabilité progression rapide; acuité visuel insatisfaisant; conseil national professionnel; porteur kératocône\xa opacité; association patient Kératocône
24,https://www.has-sante.fr/jcms/c_2015058/fr/quelle-place-pour-les-benzodiazepines-dans-l-insomnie,effet indésirable conséquence,modalité arrêt; benzodiazépine apparenter; insomnie origine; conséquence grave; requérir respect; respect règle; dose minimum; limitation temps; < j; patient durée; durée traitement,effet indésirable conséquence; résoudre cause insomnie
25,https://www.has-sante.fr/jcms/c_2019800/fr/mesure-du-monoxyde-d-azote-no-dans-l-air-expire,recommandation bon pratique,prise charge; mesure feno; évaluation technologique; rapport évaluation; état actuel; actuel connaissance; technologique nice; guider mesure; résultat analyse; suivi asthme; stratégie prise,recommandation bon pratique; place mesure NO; permettre conclure amélioration; pouvoir conforter décision; décider initiation arrêt; toutefois considérer option; corticoïde inhaler patient; test diagnostique stratégie; valeur ajouter clinique; donnée littérature synthétique; essai clinique issu
26,https://www.has-sante.fr/jcms/c_2021758/fr/modification-de-la-nomenclature-des-actes-de-biologie-medicale-pour-les-actes-de-recherche-du-treponema-pallidum-bacterie-responsable-de-la-syphilis,donnée recueillir agence; don sang France,biologie médical; qualification don; of care; produit santé; rapides orientation; orientation diagnostique; bon pratique; pratique rapport; agence national; national sécurité; adopter qualification,don sang France; donnée recueillir agence; sécurité médicament produit; rapport évaluation technologique; exclusion test rapides; qualité\xa;statistique laboratoire biologie; conclusion recommandation bon; remplacement association systématique; Linked immunosorbent Assay; analyse cohérence contenu; total méthode reproductible
27,https://www.has-sante.fr/jcms/c_2028188/fr/epidermolyses-bulleuses-hereditaires,élaborer centre référence,maladie rare; référence maladie; explicite professionnel; prise charge; charge diagnostique; optimal parcours; adulte atteindre; atteindre d\'épidermolyse; epidermolyse bulleuse; cutané MAGEC; aide méthodologie,élaborer centre référence; protocole national diagnostic; professionnel concerner prise; diagnostique thérapeutique optimal; peau fimarad\xaà aide; soin patient adulte; d\'épidermolyse bulleux héréditaire; validation ha participer; maladie génétique cutané
28,https://www.has-sante.fr/jcms/c_2032142/fr/ameliorer-la-coordination-entre-le-medecin-generaliste-et-les-differents-acteurs-de-soins-dans-la-prise-en-charge-des-troubles-mentaux-note-de-cadrage,généraliste acteur soin; charge trouble mental,prise charge; médecin généraliste; coordination médecin; améliorer prise; programme pluriannuel; relatif psychiatrie; psychiatrie santé; usager état; état lieu; synthèse donnée; donnée scientifique,généraliste acteur soin; charge trouble mental; lieu pratiques\xaet synthèse; pluriannuel ha relatif; patients\xaprésentant trouble mentaux\xa\xa\xa\xa\xa\xa; scientifique coordination communication
29,https://www.has-sante.fr/jcms/c_2038173/fr/maladie-de-parkinson-et-syndromes-apparentes-techniques-et-modalites-de-la-prise-en-charge-non-medicamenteuse-des-troubles-moteurs,technique rééducativ manuel; prise charge moyen; cours période prise,activité physique; manuel instrumental; instrumental montrer; améliorer capacité; moyen rééducatif; rééducatif utiliser; trouble moteur; moteur conséquence; charge)\xa;\r\nla diversité\xa;\r\nla; physique composant; patient activité,cours période prise; technique rééducativ manuel; prise charge moyen; montrer supériorité rapport; utiliser traiter trouble; recommander proposer patient; choix prendre compte; conséquence respecter principe; diversité\xa;\r\nla régularité\xa;\r\nla continuité; composant commune technique
30,https://www.has-sante.fr/jcms/c_2048406/fr/myasthenie-autoimmune,protocole national diagnostic; professionnel concerner prise; diagnostique thérapeutique optimal; pathologie neuromusculaire Paris,explicite professionnel; prise charge; charge diagnostique; optimal parcours; atteindre myasthénie; centre référence; référence pathologie; Paris aide; aide méthodologie; participer élaboration; diagnostic soin,protocole national diagnostic; professionnel concerner prise; diagnostique thérapeutique optimal; pathologie neuromusculaire Paris; soin patient atteindre; méthodologie proposer ha; objet validation ha; autoimmune.\xail élaborer centre
31,https://www.has-sante.fr/jcms/c_2049096/fr/comment-reduire-les-hospitalisations-non-programmees-des-residents-des-ehpad,hospitalisation non programmer,médecin traitant; mettre place; état lieu; syndrome gériatrique; hospitalisation potentiellement; organisation recours; perte chance; dossier liaison; procédure gestion; partenariat effectif; effectif \xaet,hospitalisation non programmer; prendre charge optimal; régulièrement commission coordination; considérer hospitalisation inappropriée; autres\xa professionnel libéral; indicateur réunion pluriprofessionnelle; éviter comorbidité syndrome; \xaet conventionner ressource; appuyer succès poursuivre; ressource mobilisabler interne; Commencer objectif réaliste
32,https://www.has-sante.fr/jcms/c_2055362/fr/isolement-et-contention-en-psychiatrie-generale,autoriser psychiatrie désigner; général agence régional,désigner directeur; contention mécanique; directeur général; mesure contention; équipe soignant; mise contention; santé autoriser; établissement santé; régional santé; tracer dossier; levée mesure,autoriser psychiatrie désigner; général agence régional; mettre place mesure; épisode membre équipe; prescription renouveler heure; mentionne nom psychiatre; professionnel santé surveiller; donne lieu analyse; patient permettre repos; prévoir dédier procurer; mécanique faire espace
33,https://www.has-sante.fr/jcms/c_2565031/fr/radiotherapie-en-conditions-stereotaxiques-des-tumeurs-hepatiques-rapport-d-evaluation-technologique,évaluation technologie santé; conseil national professionnel,série cas; assurance qualité; santé recommandation; recommandation bon; rapport évaluation; cas prospectif; ressource suffisant; spécifique organisation; organisation garantir; procédure assurance; bon pratique,conseil national professionnel; évaluation technologie santé; garantir respect procédure; traitement tumeur hépatique; apparaître préliminaire littérature; technique exigeante nécessite; préconisent réaliser centre; rigueur matière radioprotection; recommandation permettre standardiser\xa; concluant efficacité sécurité;il; donnée efficacité sécurité
34,https://www.has-sante.fr/jcms/c_2573383/fr/sclerose-laterale-amyotrophique,protocole national diagnostic; professionnel concerner prise; diagnostique thérapeutique optimal; référence SLA aide,explicite professionnel; prise charge; charge diagnostique; optimal parcours; latéral amyotrophique; élaborer centre; centre référence; aide méthodologie; méthodologie proposer; objet validation; participer élaboration,protocole national diagnostic; professionnel concerner prise; diagnostique thérapeutique optimal; référence SLA aide; validation ha participer; soin patient atteint\xade\xasclérose; atteint\xer de\xaSclérose latéral
35,https://www.has-sante.fr/jcms/c_2574640/fr/atrophie-multisystematisee,protocole national diagnostic; professionnel concerner prise; diagnostique thérapeutique optimal; référence maladie rare; aide méthodologie proposer,explicite professionnel; prise charge; charge diagnostique; optimal parcours; élaborer centre; centre référence; rare AMS; AMS aide; diagnostic soin; parcours soin; proposer ha,protocole national diagnostic; professionnel concerner prise; diagnostique thérapeutique optimal; référence maladie rare; aide méthodologie proposer; soin patient atteindre
36,https://www.has-sante.fr/jcms/c_2580600/fr/maladie-de-gaucher,protocole national diagnostic; professionnel concerner prise; diagnostique thérapeutique optimal; soin patient atteindre; aide méthodologie proposer,explicite professionnel; prise charge; charge diagnostique; optimal parcours; lysosomal aide; diagnostic soin; parcours soin; maladie lysosomal; proposer ha; validation ha; ha participer,protocole national diagnostic; professionnel concerner prise; diagnostique thérapeutique optimal; aide méthodologie proposer; soin patient atteindre; centre référence maladie
37,https://www.has-sante.fr/jcms/c_2587776/fr/occlusion-de-veine-saphene-par-laser-par-voie-veineuse-transcutanee,conduire ha efficacité,veine saphène; évaluation conduire; efficacité sécurité; sécurité procédure; technique référence; crossectomie éveinage; éveinage varice; alternative valider; actualiser évaluation; comparaison technique; petit veine,conduire ha efficacité; objectif travail actualiser; procédure laser comparaison; valider occlusion grand; varice grand petit; inscription remboursement acte\xadans; condition réalisation définir
38,https://www.has-sante.fr/jcms/c_2589363/fr/deletion-22q11,protocole national diagnostic; professionnel concerner prise; diagnostique thérapeutique optimal; anomalie développement syndrome; Sud Montpellier aide,explicite professionnel; prise charge; charge diagnostique; optimal parcours; atteindre délétion; centre référence; référence anomalie; syndrome Malformatifs; Malformatifs Sud; aide méthodologie; méthodologie proposer,protocole national diagnostic; professionnel concerner prise; diagnostique thérapeutique optimal; anomalie développement syndrome; Sud Montpellier aide; soin patient atteindre; validation ha participer; q. élaborer centre
39,https://www.has-sante.fr/jcms/c_2612334/fr/faire-dire,communication professionnel santé,poser question; patient poser; ® ®; the loop; Health Policy; health literacy; lutter contre; and Quality; développer national; réponse constituer; constituer obstacle,communication professionnel santé; simplement angoisse réponse; du\xa center for; for Healthcare Research; obstacle bon communication; patient interroger sur\xer; ® incite patient; faire adresse professionnel; agir outil ask; communication patient développer Foundation; question poser patient
40,https://www.has-sante.fr/jcms/c_2624413/fr/evaluation-de-thrombectomie-des-arteres-intracraniennes-par-voie-endovasculaire,sécurité thrombectomie mécanique; for Health Technology; condition réalisation technique,European Network; Network for; prise charge; cadre projet; vise identifier; identifier publication; consultation organisme; santé concerner; critère éligibilité; circulation antérieur; impact fonctionnel,for Health Technology; sécurité thrombectomie mécanique; condition réalisation technique; publication publier finalisation; organisme professionnel santé; présente analyse exhaustif; bibliographique complémentaire vise; tm élaborer cadre; vasculaire cérébral ischémique; éligibilité patient technique
41,https://www.has-sante.fr/jcms/c_2659417/fr/endoprotheses-stents-coronaires,stent non actif; stent couvert ptfe; maintien inscription nom,nom marque; description générique; inscription description; stent nus; hémorragique élevé; élevé difficulté; bithérapie antiagrégant; perforation rupture; modification modalité; titan ENERGY; prise bithérapie,maintien inscription nom; stent couvert ptfe; stent non actif; antiagrégant plaquettaire associer; difficulté prévisionnel prise; traitement \xades perforation; actif étendre indication; patient risque hémorragique; traitement lésion coronaire; inscription gamme stent
42,https://www.has-sante.fr/jcms/c_272101/fr/indications-a-visee-diagnostique-de-l-endoscopie-digestive-haute-en-pathologie-oeso-gastro-duodenale-de-l-adulte-a-l-exclusion-de-l-echoendoscopie-et-l-enteroscopie,exploration morphologique œso; haute diagnostic suivi; l\'hypertension portal hémorragie,signe clinique; on proposer; proposer exploration; d\'endoscopi digestif; digestif haute; suivi reflux; reflux gastro-œsophagien; maladie ulcéreux; ulcéreux l\'hypertension; indication biopsie; biopsie duodénal,exploration morphologique œso; haute diagnostic suivi; l\'hypertension portal hémorragie; l\'objectif recommandation professionnel
43,https://www.has-sante.fr/jcms/c_272206/fr/prise-en-charge-du-patient-atteint-de-mucoviscidose-pneumologie-et-infectiologie,bronchopulmonaire Staphylococcus aureus,diagnostique infection; infection bronchopulmonaire; stratégie antibiothérapie; voie administration; thérapeutique visée; visée respiratoire; bronchopulmonaire Pseudomonas; vis-à-vis pseudomonas; pseudomonas aeruginoser; consensus répondre; répondre question,bronchopulmonaire Staphylococcus aureus; respiratoire traitement mucoviscidose; l\'objectif conférence consensus
44,https://www.has-sante.fr/jcms/c_272207/fr/prise-en-charge-du-patient-atteint-de-mucoviscidose-observance-nutrition-gastro-enterologie-et-metabolisme,on proposer maintenir; glucidique cours mucoviscidose; charge l\'atteint hépato,maintenir état; abdominal patient; patient atteindre; trouble métabolisme; métabolisme glucidique; prise charge; l\'état nutritionnel; nutritionnel l\'évolution; stratégie on; état nutritionnel; démarche diagnostique,glucidique cours mucoviscidose; on proposer maintenir; charge l\'atteint hépato; diagnostique douleur abdominal; diagnostique thérapeutique trouble
45,https://www.has-sante.fr/jcms/c_272226/fr/diagnostic-et-traitement-curatif-de-l-infection-bacterienne-precoce-du-nouveau-ne,il pratiquer nouveau,falloir il; suspect d\'infection; naître suspect; anamnestique signe; signe clinique; d\'une infection; thérapeutique recommander; biologique falloir; bilan bactériologique; bactériologique falloir; infection bactérien,il pratiquer nouveau; clinique suspicion d\'une
46,https://www.has-sante.fr/jcms/c_272236/fr/thrombophilie-et-grossesse-prevention-des-risques-thrombotiques-maternels-et-placentaires,pathologie vasculaire placentaire; examen complémentaire réaliser; patient traiter modalité,maladie thrombo; embolique veineux; veineux maternel; moyen thérapeutique; modalité pratique; risque maladie; risque pathologie; donner patient; consensus répondre; répondre question; poser jury,pathologie vasculaire placentaire; examen complémentaire réaliser; patient traiter modalité; l\'objectif conférence consensus
47,https://www.has-sante.fr/jcms/c_272303/fr/masso-kinesitherapie-et-traitement-orthopedique-des-deformations-congenitales-isolees-du-pied-au-cours-des-six-premiers-mois-de-la-vie,démarche thérapeutique technique,délai orienter; orienter nouveau; naître présenter; information participation; participation parent; résultat attendre; technique rééducation; rééducation choisir; attendre démarche; thérapeutique associer; présenter déformation,démarche thérapeutique technique; associer non rééducation; déformation traiter surveiller; déformation congénital pied; l\'objectif recommandation professionnel; congénital exceptionnellement isolé; isoler orteil pied; recommandation déformation pied
48,https://www.has-sante.fr/jcms/c_272363/fr/recommandations-pour-le-suivi-medical-des-patients-asthmatiques-adultes-et-adolescents,prise charge épisode,aigu grave; patient asthmatique; évaluer place; débit expiratoire; expiratoire pointe; fonctionnel respiratoire; inclure gaz; radiographie thoracique; éosinophile expectoration; schéma adaptation; préciser spécificité,prise charge épisode; modalité suivi médical; place examen complémentaire; patient risque asthm; suivi tolérance observance; définir critère suivi; efficacité traitement asthme; spécificité suivi asthme
49,https://www.has-sante.fr/jcms/c_272365/fr/ccq-cephalees-chroniques-quotidiennes-diagnostic-role-de-l-abus-medicamenteux-prise-en-charge,recommandation objectif d\'améliorer; prise charge céphalée; abus médicamenteux raison; définition ccq diagnosticretentissement; qualité vie handicapfacteur,céphalée chronique; chronique quotidienner; connu professionnel; professionnel public; raison fréquence; autres)prise chargepréventionccq; d\'améliorer diagnostic; handicapfacteur associer; psychopathologique autres)prise; diagnostic retentissement; vie handicap,prise charge céphalée; abus médicamenteux raison; qualité vie handicapfacteur; définition ccq diagnosticretentissement; recommandation objectif d\'améliorer; charge prévention CCQ; handicap facteur associer
50,https://www.has-sante.fr/jcms/c_272372/fr/moyens-therapeutiques-pour-ralentir-la-progression-de-l-insuffisance-renale-chronique-chez-l-adulte,filtration glomérulaire millilitre; régime restreindre protéinesLe; l\'obésitéle sevrage tabagique; diagnostiquer insuffisance rénal; fiche bon usage,moyen thérapeutique; débit filtration; usage technologie; technologie santé\xa; diagnostic insuffisance; progression l\'insuffisance; atteindre d\'irc; partir créatininémie; formule Cockcroft; Cockcroft Gault; méthode enzymatique,fiche bon usage; diagnostiquer insuffisance rénal; filtration glomérulaire millilitre; régime restreindre protéinesLe; l\'obésitéle sevrage tabagique; permettre ralentir progression; suppléance dialyse transplantation; Gault équation CKD; enzymatique standardiser idms; EPI estimer DFG; recommandation porter moyen
51,https://www.has-sante.fr/jcms/c_272376/fr/elements-d-information-des-hommes-envisageant-la-realisation-d-un-depistage-individuel-du-cancer-de-la-prostate-document-a-l-usage-des-professionnels-de-sante,individuel cancer prostate,dépistage individuel; dosage psa; élément information; information délivrer; consulter fois; fois sujet; opportunité dépistage; prostate dosage; réalisation dépistage,individuel cancer prostate; psa sérique total; définir formuler élément; délivrer homme consulter; sujet envisager réalisation
52,https://www.has-sante.fr/jcms/c_272409/fr/indications-de-la-transplantation-hepatique,optimiser prise charge; transplanter hépatite viral; cas cirrhose alcoolique; indication transplantation hépatique; cancer foie on,conférence consensus; charge patient; patient transplanter; alcoolique est-elle; on traiter; donneur vivant; français chirurgie; l\'association français; est-elle indication; traiter transplantation; vivant transplantation,indication transplantation hépatique; optimiser prise charge; transplanter hépatite viral; cas cirrhose alcoolique; cancer foie on
53,https://www.has-sante.fr/jcms/c_272417/fr/hemorragies-du-post-partum-immediat,période anténatal travail; prise charge recommander,cas hpp; menacer pronostic; facteur risque; anténatal moment; diminuer risque; risque survenue; risque période; invasif recommander; recommander stratégie; recommander période; hpp persiste,prise charge recommander; période anténatal travail; moment accouchement diminuer; stratégie adopter cas; survenue conséquence hpp; hpp initial cas
54,https://www.has-sante.fr/jcms/c_272479/fr/prise-en-charge-de-la-drepanocytose-chez-l-enfant-et-l-adolescent,\r\nune meilleur connaissance; meilleur collaboration ville-santé,enfant famille; connaissance maladie; maladie zone; fort prévalence; ville-santé scolaire; constitution réseau; médecin adulte; éducation thérapeutique; évaluation social; information auprès; auprès acteur,meilleur collaboration ville-santé; \r\nune meilleur connaissance; zone France fort; action structurer éducation; acteur milieu vie; lutter contre stigmatisation; recommandation format pdf; collaboration service spécialiser
55,https://www.has-sante.fr/jcms/c_272496/fr/appreciation-du-risque-carieux-et-indications-du-scellement-prophylactique-des-sillons-des-premieres-et-deuxiemes-molaires-permanentes-chez-les-sujets-de-moins-de-18-ans,risque carie individuel; permanent sujet an; indication scellement sillon; deuxième molaire permanent; mise place scellement,modalité appréciation; appréciation risque; cas dent; sillon premier; premier deuxième; dent permanent; protocole mise; protocole suivi; suivi scellement; professionnel répondre; répondre question,permanent sujet an; deuxième molaire permanent; risque carie individuel; mise place scellement; indication scellement sillon; l\'objectif recommandation professionnel; document aborde également; économique prévention carie
